slug,region_name,year,month,period,split,dengue_cases,dengue_deaths,incidence_per100k,mean_temp_C,rainfall_mm,humidity_pct,hot_days,population,pop_density_km2,urban_pct,poverty_fam_pct,oni,oni_lag3,rainfall_lag1,rainfall_anomaly_mm,humidity_lag1,temp_lag3,cases_lag1,cases_lag12,ovitrap_pct,ovitrap_lag1,is_demo_fixture
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,1,2016-01,train,82,2,2.1,26.21,707,93.1,0,3905967,106.57,27.86,53.92,2,2.1,239.4,531.5,81.9,26.15,191,134,26.3,37.6,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,2,2016-02,train,152,1,3.89,26.77,98.3,79.4,0,3905967,106.57,27.86,53.92,1.9,2.2,707,-13.2,93.1,27.02,82,63,42,26.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,3,2016-03,train,68,1,1.74,26.8,227.7,79,0,3905967,106.57,27.86,53.92,1.6,2.3,98.3,64.4,79.4,26.34,152,62,17.5,42,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,4,2016-04,train,89,0,2.28,27.49,223.7,79.6,0,3905967,106.57,27.86,53.92,1.1,2,227.7,52.7,79,26.21,68,42,20.9,17.5,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,5,2016-05,train,75,1,1.92,27.77,338.5,82.8,0,3905967,106.57,27.86,53.92,0.6,1.9,223.7,28.9,79.6,26.77,89,115,23.1,20.9,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,6,2016-06,train,217,3,5.56,27.29,368.1,83.2,0,3905967,106.57,27.86,53.92,0.1,1.6,338.5,26.2,82.8,26.8,75,142,25.3,23.1,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,7,2016-07,train,293,1,7.5,26.5,288.8,83.2,0,3905967,106.57,27.86,53.92,-0.2,1.1,368.1,-37.5,83.2,27.49,217,382,27.4,25.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,8,2016-08,train,251,1,6.43,26.27,188.2,82.5,0,3905967,106.57,27.86,53.92,-0.4,0.6,288.8,-29.9,83.2,27.77,293,946,27.8,27.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,9,2016-09,train,439,1,11.24,25.68,352.6,83.7,0,3905967,106.57,27.86,53.92,-0.5,0.1,188.2,76.9,82.5,27.29,251,651,22.3,27.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,10,2016-10,train,293,2,7.5,26.41,566.6,88.4,1,3905967,106.57,27.86,53.92,-0.6,-0.2,352.6,209.2,83.7,26.5,439,694,26.4,22.3,1
